entity1,entity1_type,relation,entity2,entity2_type,pdf_name,source
principal component analysis (pca),analysis,shows,seasonal differences in leaf gene expression,gene,PMC11003779,the first two axes of a principal component analysis (pca) on the leaf gene expression data showed that the three seasons were transcriptomically distinct.
spring samples,season,separated,along both pc axes to a greater extent,analysis,PMC11003779,spring samples were separated along both pc axes to a greater extent and represented the largest magnitude of change during seasonal transitions in both years.
summer and autumn samples,season,form,tighter clusters,cluster,PMC11003779,"summer and autumn samples together formed tighter clusters, but yearly dynamics were still distinguishable."
drought,abiotic factor,impacts,gene expression patterns in american beech leaves,gene,PMC11003779,gene set enrichment analysis revealed gene ontology terms that highlight molecular functions and biological processes possibly influenced by abiotic forcings such as recovery from drought.
excess precipitation,abiotic factor,triggers,response in american beech leaves,gene,PMC11003779,response to excess precipitation.
populus orthologues,gene,reconstructed,a protein-protein interaction network,interaction network,PMC11003779,"a search for these proteins against the black cottonwood (populus trichocarpa) matched 2813 orthologues. of the populus orthologues, a subset of 2421 had a hit in the string database generating an interactome network with 2185 nodes and 3231 edges."
spring-summer transitions,seasonal transition,involve,the highest magnitude of gene expression changes,gene,PMC11003779,"consistent with the pca results, overall, the highest magnitude of change took place during the spring-summer transitions during both 2017 and 2018."
co-upregulated transcripts,transcript,consistently,31 in both years during spring-summer transitions,gene,PMC11003779,the trees at the two sites consistently co-upregulated 31 and co-downregulated 127 transcripts (populus orthologues) in both years during spring-summer transitions.
co-downregulated transcripts,transcript,consistently,127 in both years during spring-summer transitions,gene,PMC11003779,the trees at the two sites consistently co-upregulated 31 and co-downregulated 127 transcripts (populus orthologues) in both years during spring-summer transitions.
summer-autumn transitions,seasonal transition,involve,less differential gene expression activity compared to spring-summer transitions,gene,PMC11003779,gene expression patterns during summer-autumn transitions at the two sites did not differ as much as observed in spring-summer.
gene expression patterns,gene,linked,to phenological responses under different environmental conditions,phenotype,PMC11003779,"measuring gene expression in leaves, therefore, offers a way to probe into developmental and plastic responses throughout the growing season, linking the influences of climate shifts to the phenotypic response of the trees."
climate change,environmental factor,shifts,phenological events in american beech trees,phenotype,PMC11003779,"anthropogenic climate change is affecting the phenology of trees, with important implications for the future of forests."
functional responses,response,complex,against the background noise of ecological variation,variation,PMC11003779,"functional responses to these climatic changes, however, are complex and difficult to demonstrate against the background noise of ecological variation."
genes,gene,drive,mechanisms of response to climate change,response,PMC11003779,"because genes fundamentally drive all these mechanisms, transcriptomics might offer a tool towards identifying patterns and to advance our understanding of the mechanisms of response to climate change."
leaf function,function,depends,on gene expression variation across space and time,gene,PMC11003779,there is an urgent need for determining the drivers of tree leaf function especially among trees growing in unmanaged natural forest stands.
transcriptomic analysis,analysis,captures,expressed genes in a tissue at the time of collection,gene,PMC11003779,"transcriptomic analysis captures expressed genes in a tissue at the time of collection and can provide detailed sequence information allowing the quantification, comparison and accurate interpretation of phenotypes along a phenological sequence."
leaves,organ,act,as an interface between the phenotype and the environment,interface,PMC11003779,leaves are an important component of individual-level performance forming an interface between the phenotype and the environment.
phenotypic variation,variation,results from,the interplay of genotype and gene expression,genotype,PMC11003779,phenotypic variation is an interplay of the genotype and gene expression.
tree leaf function,function,requires,detailed transcriptomic assay of leaf gene expression,gene,PMC11003779,the present study aims to fill this gap through a comprehensive transcriptomic assay of leaf gene expression through space and time.
gene expression,gene,provides,detailed sequence information,information,PMC11003779,"transcriptomic analysis captures expressed genes in a tissue at the time of collection and can provide detailed sequence information allowing the quantification, comparison and accurate interpretation of phenotypes along a phenological sequence."
leaf gene expression,gene,linked,to phenological stages under different environmental conditions,phenotype,PMC11003779,"importantly though, no two growing seasons or sites are alike making quantification of gene expression in leaves across space and time vital to further insight into plant function and status under different environmental conditions and phenological stages."
seasonal transitions,seasonal transition,driven by,changes to temperature and precipitation patterns,environmental factor,PMC11003779,"the timing of seasonal transitions has been shown to differ among years and sites, driven by changes to temperature and precipitation patterns."
climate change,environmental factor,expected to,alter and make less predictable climatic variables,climate,PMC11003779,"unfortunately, these and other climatic variables are expected to be further altered by climate change and become less predictable, potentially leading to mismatches and disruptions in pollination services and trophic interactions such as herbivory, predation and parasitization."
functional responses,response,complex,against the background noise of ecological variation,variation,PMC11003779,"functional responses to these climatic changes, however, are complex and difficult to demonstrate against the background noise of ecological variation."
transcriptomics,technique,offers,a tool towards identifying patterns and understanding mechanisms of response to climate change,tool,PMC11003779,"because genes fundamentally drive all these mechanisms, transcriptomics might offer a tool towards identifying patterns and to advance our understanding of the mechanisms of response to climate change."
leaf gene expression,gene,provides,"detailed sequence information allowing the quantification, comparison and accurate interpretation of phenotypes along a phenological sequence",information,PMC11003779,"transcriptomic analysis captures expressed genes in a tissue at the time of collection and can provide detailed sequence information allowing the quantification, comparison and accurate interpretation of phenotypes along a phenological sequence."
leaf gene expression,gene,linked,to phenological responses under different environmental conditions,phenotype,PMC11003779,"measuring gene expression in leaves, therefore, offers a way to probe into developmental and plastic responses throughout the growing season, linking the influences of climate shifts to the phenotypic response of the trees."
gene expression,gene,varies,"with respect to year, site, and season",phenotype,PMC11003779,the first two axes of a principal component analysis (pca) on the leaf gene expression data showed that the three seasons were transcriptomically distinct.
principal component analysis (pca),analysis,shows,seasonal differences in leaf gene expression,gene,PMC11003779,the first two axes of a principal component analysis (pca) on the leaf gene expression data showed that the three seasons were transcriptomically distinct.
spring samples,season,separated,along both pc axes to a greater extent,analysis,PMC11003779,spring samples were separated along both pc axes to a greater extent and represented the largest magnitude of change during seasonal transitions in both years.
summer and autumn samples,season,form,tighter clusters,cluster,PMC11003779,"summer and autumn samples together formed tighter clusters, but yearly dynamics were still distinguishable."
drought,abiotic factor,impacts,gene expression patterns in american beech leaves,gene,PMC11003779,gene set enrichment analysis revealed gene ontology terms that highlight molecular functions and biological processes possibly influenced by abiotic forcings such as recovery from drought.
excess precipitation,abiotic factor,triggers,response in american beech leaves,gene,PMC11003779,response to excess precipitation.
populus orthologues,gene,reconstructed,a protein-protein interaction network,interaction network,PMC11003779,"a search for these proteins against the black cottonwood (populus trichocarpa) matched 2813 orthologues. of the populus orthologues, a subset of 2421 had a hit in the string database generating an interactome network with 2185 nodes and 3231 edges."
spring-summer transitions,seasonal transition,involve,the highest magnitude of gene expression changes,gene,PMC11003779,"consistent with the pca results, overall, the highest magnitude of change took place during the spring-summer transitions during both 2017 and 2018."
co-upregulated transcripts,transcript,consistently,31 in both years during spring-summer transitions,gene,PMC11003779,the trees at the two sites consistently co-upregulated 31 and co-downregulated 127 transcripts (populus orthologues) in both years during spring-summer transitions.
co-downregulated transcripts,transcript,consistently,127 in both years during spring-summer transitions,gene,PMC11003779,the trees at the two sites consistently co-upregulated 31 and co-downregulated 127 transcripts (populus orthologues) in both years during spring-summer transitions.
summer-autumn transitions,seasonal transition,involve,less differential gene expression activity compared to spring-summer transitions,gene,PMC11003779,gene expression patterns during summer-autumn transitions at the two sites did not differ as much as observed in spring-summer.
gene expression patterns,gene,linked,to phenological responses under different environmental conditions,phenotype,PMC11003779,"measuring gene expression in leaves, therefore, offers a way to probe into developmental and plastic responses throughout the growing season, linking the influences of climate shifts to the phenotypic response of the trees."
climate change,environmental factor,shifts,phenological events in american beech trees,phenotype,PMC11003779,"anthropogenic climate change is affecting the phenology of trees, with important implications for the future of forests."
functional responses,response,complex,against the background noise of ecological variation,variation,PMC11003779,"functional responses to these climatic changes, however, are complex and difficult to demonstrate against the background noise of ecological variation."
genes,gene,drive,mechanisms of response to climate change,response,PMC11003779,"because genes fundamentally drive all these mechanisms, transcriptomics might offer a tool towards identifying patterns and to advance our understanding of the mechanisms of response to climate change."
leaf function,function,depends,on gene expression variation across space and time,gene,PMC11003779,there is an urgent need for determining the drivers of tree leaf function especially among trees growing in unmanaged natural forest stands.
transcriptomic analysis,analysis,captures,expressed genes in a tissue at the time of collection,gene,PMC11003779,"transcriptomic analysis captures expressed genes in a tissue at the time of collection and can provide detailed sequence information allowing the quantification, comparison and accurate interpretation of phenotypes along a phenological sequence."
leaves,organ,act,as an interface between the phenotype and the environment,interface,PMC11003779,leaves are an important component of individual-level performance forming an interface between the phenotype and the environment.
phenotypic variation,variation,results from,the interplay of genotype and gene expression,genotype,PMC11003779,phenotypic variation is an interplay of the genotype and gene expression.
tree leaf function,function,requires,detailed transcriptomic assay of leaf gene expression,gene,PMC11003779,the present study aims to fill this gap through a comprehensive transcriptomic assay of leaf gene expression through space and time.
gene expression,gene,provides,detailed sequence information,information,PMC11003779,"transcriptomic analysis captures expressed genes in a tissue at the time of collection and can provide detailed sequence information allowing the quantification, comparison and accurate interpretation of phenotypes along a phenological sequence."
leaf gene expression,gene,linked,to phenological stages under different environmental conditions,phenotype,PMC11003779,"importantly though, no two growing seasons or sites are alike making quantification of gene expression in leaves across space and time vital to further insight into plant function and status under different environmental conditions and phenological stages."
seasonal transitions,seasonal transition,driven by,changes to temperature and precipitation patterns,environmental factor,PMC11003779,"the timing of seasonal transitions has been shown to differ among years and sites, driven by changes to temperature and precipitation patterns."
climate change,environmental factor,expected to,alter and make less predictable climatic variables,climate,PMC11003779,"unfortunately, these and other climatic variables are expected to be further altered by climate change and become less predictable, potentially leading to mismatches and disruptions in pollination services and trophic interactions such as herbivory, predation and parasitization."
functional responses,response,complex,against the background noise of ecological variation,variation,PMC11003779,"functional responses to these climatic changes, however, are complex and difficult to demonstrate against the background noise of ecological variation."
transcriptomics,technique,offers,a tool towards identifying patterns and understanding mechanisms of response to climate change,tool,PMC11003779,"because genes fundamentally drive all these mechanisms, transcriptomics might offer a tool towards identifying patterns and to advance our understanding of the mechanisms of response to climate change."
leaf gene expression,gene,provides,"detailed sequence information allowing the quantification, comparison and accurate interpretation of phenotypes along a phenological sequence",information,PMC11003779,"transcriptomic analysis captures expressed genes in a tissue at the time of collection and can provide detailed sequence information allowing the quantification, comparison and accurate interpretation of phenotypes along a phenological sequence."
leaf gene expression,gene,linked,to phenological responses under different environmental conditions,phenotype,PMC11003779,"measuring gene expression in leaves, therefore, offers a way to probe into developmental and plastic responses throughout the growing season, linking the influences of climate shifts to the phenotypic response of the trees."
bcr::abl1,protein,dephosphorylation,abl1,protein,PMC11007435,ex vivo imatinib resistance was associated with lower levels of phosphorylated bcr::abl1/abl1 protein.
bcr::abl1,protein,phosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,phosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,bcr,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
bcr::abl1,protein,dephosphorylation,crkl,protein,PMC11007435,"moreover, we observed that an increase in ex vivo imatinib resistance was correlated with a decreased amount of phosphorylated bcr::abl1/abl1 protein, total bcr::abl1/abl1 protein, phosphorylated crkl protein."
bcr::abl1,protein,dephosphorylation,stat5,protein,PMC11007435,"phosphorylated stat5 protein (rho = − 0.07; p = not significant), in (long-term cultured) pdx-expanded cells."
